B,C,trial,stability_min_eig
1,4,0,-0.2173991818034761
1,4,1,-0.3170023145596117
1,4,2,-0.24551425347682113
1,4,3,-0.2806719860005499
1,4,4,-0.27500783035911897
1,5,0,-0.2671654070113258
1,5,1,-0.263130396014151
1,5,2,-0.3325937748918928
1,5,3,-0.383228758864388
1,5,4,-0.39154929635717073
1,6,0,-0.1952008740812773
1,6,1,-0.31982296476944616
1,6,2,-0.3774006186287029
1,6,3,-0.2927209657037017
1,6,4,-0.2378007735236312
1,7,0,-0.2635868511072219
1,7,1,-0.17994614506541584
1,7,2,-0.2007734209271476
1,7,3,-0.20984996092064767
1,7,4,-0.3483927232499007
1,8,0,-0.14286189152137624
1,8,1,-0.06530879903713148
1,8,2,-0.3452136496248801
1,8,3,-0.27822396179728753
1,8,4,-0.2967912642126855
1,9,0,-0.11113395216256797
1,9,1,-0.21715612450116015
1,9,2,-0.32282010992858995
1,9,3,-0.12125724846001999
1,9,4,-0.20714748285366552
1,10,0,-0.16887812884686557
1,10,1,-0.14465318431267657
1,10,2,-0.21512329447847264
1,10,3,-0.23773033499918192
1,10,4,-0.18099960338823698
1,11,0,-0.040906654046884976
1,11,1,-0.0696277208360204
1,11,2,-0.059839625781825195
1,11,3,-0.032244372403620436
1,11,4,-0.16134684558303558
1,12,0,-0.12396839394097071
1,12,1,-0.2004578773342406
1,12,2,-0.1221029511355315
1,12,3,-0.3351639795938229
1,12,4,-0.09097196321671215
1,13,0,-8.908859654224221e-16
1,13,1,-0.1547609477998148
1,13,2,-0.158998233523557
1,13,3,-0.08555180501134647
1,13,4,-0.04406022250984065
1,14,0,-0.1553192825019719
1,14,1,-0.1064650840879721
1,14,2,-8.30087749985386e-16
1,14,3,-8.132858150799789e-16
1,14,4,-0.14587454947083298
1,15,0,-5.0147653378791e-16
1,15,1,-0.03899371204721636
1,15,2,-9.243105588742619e-16
1,15,3,-0.22761464901636175
1,15,4,-7.351823621053461e-16
1,16,0,-0.0006810492483826467
1,16,1,-1.7498551772542019e-15
1,16,2,-0.023607918976452945
1,16,3,-0.09166302364915759
1,16,4,-9.201403988251965e-16
1,17,0,-1.5762398512311608e-15
1,17,1,-1.936381295938132e-15
1,17,2,-0.10391377586448373
